customer_id,age,gender,annual_income,education,marital_status,city,state,country,postal_code,signup_date,purchase_frequency,avg_purchase_value,total_spent,days_since_last_purchase,favorite_payment_method,electronics_score,clothing_score,home_decor_score,beauty_score,sports_score,books_score,food_score,website_visits_per_month,avg_session_duration,mobile_app_usage,desktop_usage,items_viewed_per_visit,cart_abandonment_rate,email_engagement_rate,support_tickets,satisfaction_score,Recency,Frequency,Monetary
7e58732d,58,1,76754,2,0,83,7,0,47553,2023-11-26,7,30.46,213.2,29,3,53,81,52,84,74,49,48,3,11.7,6,96,7,54,0,1,7.0,30,11,326.88
5371a919,19,2,36083,0,3,494,12,0,61090,2024-01-15,7,36.78,257.47,58,4,17,27,44,38,34,26,30,2,8.08,95,0,12,59,16,1,5.6,3,9,375.21
4a71a294,42,1,45852,1,0,246,27,0,29247,2021-11-21,13,33.38,433.95,34,2,75,80,53,70,51,81,64,2,9.21,91,18,7,40,65,0,6.9,117,9,335.86
23165a5e,30,2,34021,2,2,850,39,0,14448,2021-07-26,5,35.45,177.27,30,5,19,11,29,22,34,45,28,5,4.24,17,79,13,51,23,1,6.4,305,10,312.88
dcb1e818,62,2,90889,2,1,123,40,0,22144,2022-04-13,9,45.37,408.32,94,3,39,34,27,50,45,24,30,1,8.77,75,12,15,62,42,0,6.9,39,22,989.46
59619e1e,69,0,125360,3,0,479,11,0,75348,2024-11-26,9,20.29,182.57,28,4,76,69,87,81,85,65,72,6,21.96,20,93,8,9,48,0,7.0,30,7,176.25
688ea22b,65,2,50445,3,3,378,6,0,99272,2023-03-31,9,15.0,135.0,29,3,63,37,35,39,41,72,42,1,11.22,82,29,19,52,35,0,5.3,171,9,159.48
cf12d9f1,42,0,70963,4,3,355,9,0,75169,2022-04-23,11,39.6,435.63,33,4,55,62,89,72,76,62,73,4,10.76,47,46,12,29,58,1,7.6,1,6,268.98
86560c9d,50,1,40472,4,2,68,1,0,88039,2020-05-24,8,19.21,153.65,81,5,93,85,91,65,62,76,63,9,13.26,59,36,12,56,7,2,6.2,21,12,225.79
d1d6968f,38,0,36778,2,2,548,33,0,5223,2023-03-29,9,56.56,509.01,113,5,18,30,51,20,20,46,19,8,9.52,100,0,14,51,35,0,6.5,139,8,462.05
8de7a09b,60,0,53545,4,1,637,20,0,21367,2023-10-16,7,49.39,345.73,68,4,40,61,39,46,52,50,55,5,6.91,93,3,8,55,7,4,5.8,30,14,753.71
7f6027dc,32,1,94142,1,2,36,26,0,95992,2021-12-23,17,29.17,495.86,71,3,51,37,41,77,40,51,41,10,37.82,90,1,8,45,37,0,8.8,27,9,302.34
e2660129,33,0,38309,3,1,469,28,0,72320,2022-04-02,5,23.7,118.5,17,1,95,95,89,74,89,85,71,8,8.69,12,91,7,60,51,1,6.8,6,9,170.25
9dd2da9c,44,0,47218,2,2,824,16,0,94656,2024-12-07,12,15.0,180.0,52,1,27,36,33,33,55,49,29,2,18.09,40,61,14,34,41,1,6.5,17,10,148.13
0bba0348,73,1,52771,3,2,75,29,0,84080,2024-12-28,4,15.0,60.0,84,4,53,58,68,63,79,84,83,4,9.04,23,69,2,60,13,3,5.0,5,6,82.61
